cell_cycle_GO:0007049,extracellular_matrix_GO:0031012,epithelial_to_mesencyhmal_transition_GO:0001837,lipid_catabolic_process_GO:0016042,canonical_glycolysis_GO:0061621,glycolytic_process_GO:0006096,glucose_catabolic_process_GO:0006007,tricarboxylic_acid_cycle_GO:0006099,oxidative_phosphorylation_GO:0006119,fatty_acid_oxidation_GO:0019395,regulation_of_pyruvate_kinase_activity_GO.1903301,regulation_of_glucose_catabolic_process_to_lactate_via_pyruvate_GO.1904023,regulation_of_lipid_storage_GO.0010883,fatty_acid_homeostasis_GO.0055089,glucose_transmembrane_transport_GO.1904659,long-chain_fatty_acid_import_into_cell_GO.0044539,malonyl-CoA_metabolic_process_GO.2001293,response_to_unfolded_protein_GO.0006986,cellular_response_to_hypoxia_GO.0071456,response_to_type_I_interferon_GO.0034340
Syf2,Thbs1,,Pla2g7,,,,,,,,,,,,,,,,
Mir26a-2,Thbs1,,Pla2g10,,,,,,,,,,,,,,,,
Insm2,Thbs1,,Pla2g10,,,,,,,,,,,,,,,,
Myh10,Thbs1,,Pla2g10,,,,,,,,,,,,,,,,
Myh10,Thbs2,,Pla2g12a,,,,,,,,,,,,,,,,
Klf11,Thbs2,,Pla2g12b,,,,,,,,,,,,,,,,
Cep63,Thbs2,,Pla2g15,,,,,,,,,,,,,,,,
Cep63,Itln1,,Pla2g15,,,,,,,,,,,,,,,,
Cep63,Plxna2,,Pla2g15,,,,,,,,,,,,,,,,
Cep63,Hmcn2,,Pla2g15,,,,,,,,,,,,,,,,
Cep63,Hmcn2,,Plaat1,,,,,,,,,,,,,,,,
Cep63,Hmcn2,,Plaat3,,,,,,,,,,,,,,,,
Cep63,Hmcn2,,Plb1,,,,,,,,,,,,,,,,
Cep63,Hmcn2,,Plb1,,,,,,,,,,,,,,,,
Chmp2a,Hmcn2,,Plb1,,,,,,,,,,,,,,,,
Chmp2a,Muc6,,Plb1,,,,,,,,,,,,,,,,
Chmp2a,Mmrn2,,Plb1,,,,,,,,,,,,,,,,
Chmp2a,Mmrn2,,Plbd1,,,,,,,,,,,,,,,,
Chmp2a,Mmrn2,,Plbd1,,,,,,,,,,,,,,,,
Chmp2a,Mmrn2,,Plbd2,,,,,,,,,,,,,,,,
Map4,Elfn1,,Plbd2,,,,,,,,,,,,,,,,
Map4,Adamts10,,Plcb1,,,,,,,,,,,,,,,,
Map4,Adamts10,,Plcb1,,,,,,,,,,,,,,,,
Map4,Adamts10,,Plcb1,,,,,,,,,,,,,,,,
Zfp386,Col6a5,,Plcb2,,,,,,,,,,,,,,,,
Msx2,Col6a5,,Plcb2,,,,,,,,,,,,,,,,
Msx1,Col6a5,,Plcb3,,,,,,,,,,,,,,,,
Pbk,Col6a5,,Plcb3,,,,,,,,,,,,,,,,
Trp73,Col6a5,,Plcb3,,,,,,,,,,,,,,,,
Trp73,Tgfbi,,Plcd1,,,,,,,,,,,,,,,,
Trp73,Tgfbi,,Plcd3,,,,,,,,,,,,,,,,
Trp73,Tgfbi,,Plcd4,,,,,,,,,,,,,,,,
Prc1,Tgfbi,,Plce1,,,,,,,,,,,,,,,,
Prc1,Tgfbi,,Plcg1,,,,,,,,,,,,,,,,
Prc1,Tgfbi,,Plcg1,,,,,,,,,,,,,,,,
Prc1,Tgfbi,,Plcg2,,,,,,,,,,,,,,,,
Ppp2ca,Lama1,,Plcg2,,,,,,,,,,,,,,,,
Ppp2ca,Lama1,,Plch1,,,,,,,,,,,,,,,,
Aurkc,Lama1,,Plch2,,,,,,,,,,,,,,,,
Aurkc,Lama1,,Plcxd2,,,,,,,,,,,,,,,,
Aurkc,Lama1,,Plcxd3,,,,,,,,,,,,,,,,
Aurkc,Lama1,,Plcz1,,,,,,,,,,,,,,,,
Aurkc,Lama1,,Pld1,,,,,,,,,,,,,,,,
Aurkc,Lama1,,Pld1,,,,,,,,,,,,,,,,
Blcap,Lama1,,Pld2,,,,,,,,,,,,,,,,
Mettl3,Lama1,,Pld2,,,,,,,,,,,,,,,,
Wasl,Lama1,,Pld6,,,,,,,,,,,,,,,,
Wasl,Lama1,,Plin1,,,,,,,,,,,,,,,,
Crebbp,Lama1,,Plin5,,,,,,,,,,,,,,,,
Wee2,Lama1,,Plin5,,,,,,,,,,,,,,,,
Wee2,Lama1,,Plin5,,,,,,,,,,,,,,,,
Wee2,Lama1,,Plin5,,,,,,,,,,,,,,,,
Wee2,Lama1,,Plin5,,,,,,,,,,,,,,,,
Wee2,Lama1,,Plin5,,,,,,,,,,,,,,,,
Wee2,Lama1,,Pnlip,,,,,,,,,,,,,,,,
Wee2,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Cyp27b1,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Rgs2,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Nsmce2,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Nsmce2,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Nsmce2,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
H2-M3,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Cast,Lama1,,Pnliprp2,,,,,,,,,,,,,,,,
Nf2,Lama1,,Pnpla1,,,,,,,,,,,,,,,,
Nek1,Lama1,,Pnpla1,,,,,,,,,,,,,,,,
Nek1,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Nedd9,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Fanca,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Mlf1,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Mlf1,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Rad1,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Rad1,Lama1,,Pnpla2,,,,,,,,,,,,,,,,
Rad1,Runx1,,Pnpla2,,,,,,,,,,,,,,,,
Wdr76,Frem1,,Pnpla3,,,,,,,,,,,,,,,,
Ccsap,Frem1,,Pnpla3,,,,,,,,,,,,,,,,
Ccsap,Frem1,,Pnpla3,,,,,,,,,,,,,,,,
Ccsap,Frem1,,Pnpla3,,,,,,,,,,,,,,,,
Prmt2,Frem1,,Pnpla5,,,,,,,,,,,,,,,,
Sphk1,Col19a1,,Pnpla5,,,,,,,,,,,,,,,,
Sphk1,Col19a1,,Pnpla5,,,,,,,,,,,,,,,,
Usp37,Efna5,,Pnpla6,,,,,,,,,,,,,,,,
Usp37,Serping1,,Pnpla7,,,,,,,,,,,,,,,,
Usp37,Col9a3,,Pnpla7,,,,,,,,,,,,,,,,
Arl8a,Col9a3,,Pnpla8,,,,,,,,,,,,,,,,
Gmnn,Col9a3,,Pnpla8,,,,,,,,,,,,,,,,
Gmnn,Col9a3,,Pnpla8,,,,,,,,,,,,,,,,
Gmnn,Col9a3,,Ppt1,,,,,,,,,,,,,,,,
Gm28897,Serac1,,Prdx6,,,,,,,,,,,,,,,,
Ppp2r1a,Smoc2,,Prdx6,,,,,,,,,,,,,,,,
Ppp2r1a,Smoc2,,Prkaa1,,,,,,,,,,,,,,,,
Ppp2r1a,Smoc2,,Prkcd,,,,,,,,,,,,,,,,
Ppp2r1a,Smoc2,,Prkcd,,,,,,,,,,,,,,,,
Ppp2r1a,Smoc2,,Prkce,,,,,,,,,,,,,,,,
Rmi2,Lingo2,,Psap,,,,,,,,,,,,,,,,
Rmi2,Adamts20,,Ptprv,,,,,,,,,,,,,,,,
Rnf2,Serpinb9,,Rab7,,,,,,,,,,,,,,,,
Taok2,Gpld1,,Rarres2,,,,,,,,,,,,,,,,
Poc1a,Gpld1,,Rarres2,,,,,,,,,,,,,,,,
Poc1a,Col16a1,,Scarb1,,,,,,,,,,,,,,,,
Wtap,Col16a1,,Scarb1,,,,,,,,,,,,,,,,
Ppp2r5b,Col16a1,,Scarb1,,,,,,,,,,,,,,,,
Ppp2r5b,Col16a1,,Scp2,,,,,,,,,,,,,,,,
Septin2,Col16a1,,Sct,,,,,,,,,,,,,,,,
Septin2,Col16a1,,Sct,,,,,,,,,,,,,,,,
Septin2,Col16a1,,Sctr,,,,,,,,,,,,,,,,
Casp2,Elane,,Sctr,,,,,,,,,,,,,,,,
Myog,Fam20b,,Sesn2,,,,,,,,,,,,,,,,
Myog,Adamts18,,Sgpl1,,,,,,,,,,,,,,,,
Pes1,Dmbt1,,Sgpl1,,,,,,,,,,,,,,,,
Myc,Dmbt1,,Sirt2,,,,,,,,,,,,,,,,
Myc,Dmbt1,,Slc25a17,,,,,,,,,,,,,,,,
Myc,Dmbt1,,Slc27a2,,,,,,,,,,,,,,,,
Myc,Dmbt1,,Slc27a2,,,,,,,,,,,,,,,,
Flt3l,Dmbt1,,Slc27a2,,,,,,,,,,,,,,,,
Trim32,Angptl1,,Slc27a2,,,,,,,,,,,,,,,,
Myb,Mfap2,,Slc27a4,,,,,,,,,,,,,,,,
Myb,Mfap2,,Slc27a4,,,,,,,,,,,,,,,,
Fbxo7,Mfap2,,Smpd1,,,,,,,,,,,,,,,,
Fbxo7,Mfap2,,Smpd1,,,,,,,,,,,,,,,,
Ndel1,Mfap2,,Smpd1,,,,,,,,,,,,,,,,
Ndel1,Mfap2,,Smpd2,,,,,,,,,,,,,,,,
Ndel1,Mfap2,,Smpd2,,,,,,,,,,,,,,,,
Ndel1,Megf6,,Smpd3,,,,,,,,,,,,,,,,
Akt1,Ahsg,,Smpd4,,,,,,,,,,,,,,,,
Akt1,Ahsg,,Smpd4,,,,,,,,,,,,,,,,
Tube1,Serpinf2,,Smpd4,,,,,,,,,,,,,,,,
Epgn,Serpinf2,,Smpd4,,,,,,,,,,,,,,,,
Epgn,Ltbp2,,Smpd4,,,,,,,,,,,,,,,,
Epgn,Ltbp2,,Smpd4,,,,,,,,,,,,,,,,
Ak1,Ltbp2,,Smpd5,,,,,,,,,,,,,,,,
Csnk1d,Ltbp2,,Smpdl3a,,,,,,,,,,,,,,,,
Csnk1d,Fgb,,Smpdl3b,,,,,,,,,,,,,,,,
Haus5,Fgb,,Smpdl3b,,,,,,,,,,,,,,,,
Haus5,Fgb,,Smpdl3b,,,,,,,,,,,,,,,,
Haus5,Fgb,,Sorl1,,,,,,,,,,,,,,,,
Haus5,Fgb,,Spp1,,,,,,,,,,,,,,,,
Haus5,Col26a1,,Srd5a1,,,,,,,,,,,,,,,,
Mad2l2,Enam,,Srd5a2,,,,,,,,,,,,,,,,
Fam83d,Enam,,Srd5a3,,,,,,,,,,,,,,,,
Fam83d,Enam,,Srd5a3,,,,,,,,,,,,,,,,
Fam83d,Enam,,Srd5a3,,,,,,,,,,,,,,,,
Fam83d,Dspp,,Sult1e1,,,,,,,,,,,,,,,,
Efhc1,Dspp,,Tbl1xr1,,,,,,,,,,,,,,,,
Efhc1,Ltbp1,,Thra,,,,,,,,,,,,,,,,
Efhc1,Ltbp1,,Tnf,,,,,,,,,,,,,,,,
Efhc1,Ltbp1,,Twist1,,,,,,,,,,,,,,,,
Acvr1,Ltbp1,,Tysnd1,,,,,,,,,,,,,,,,
Actb,Ltbp1,,Tysnd1,,,,,,,,,,,,,,,,
Actb,Ltbp1,,Ugt1a7c,,,,,,,,,,,,,,,,
Anapc15,Ltbp1,,Ywhah,,,,,,,,,,,,,,,,
Anapc15,Ltbp1,,Zpbp2,,,,,,,,,,,,,,,,
Plk2,Ltbp1,,Zpbp2,,,,,,,,,,,,,,,,
Plk2,Ltbp1,,,,,,,,,,,,,,,,,,
Plk2,Timp4,,,,,,,,,,,,,,,,,,
Plk2,Loxl1,,,,,,,,,,,,,,,,,,
Plk2,Loxl1,,,,,,,,,,,,,,,,,,
Plk2,Loxl1,,,,,,,,,,,,,,,,,,
Plk2,Loxl1,,,,,,,,,,,,,,,,,,
Plk2,Loxl1,,,,,,,,,,,,,,,,,,
Plk2,Loxl1,,,,,,,,,,,,,,,,,,
Ccnl1,Vwa5a,,,,,,,,,,,,,,,,,,
Gm5935,Vwa5a,,,,,,,,,,,,,,,,,,
Usp8,Vwa5a,,,,,,,,,,,,,,,,,,
Usp8,Vwa5a,,,,,,,,,,,,,,,,,,
Boll,Tsku,,,,,,,,,,,,,,,,,,
Anapc15-ps,Epyc,,,,,,,,,,,,,,,,,,
Cts7,Lrig1,,,,,,,,,,,,,,,,,,
Cts7,Gpc5,,,,,,,,,,,,,,,,,,
Smad3,Gpc1,,,,,,,,,,,,,,,,,,
Smad3,Gpc1,,,,,,,,,,,,,,,,,,
Insc,Slit2,,,,,,,,,,,,,,,,,,
Insc,Slit2,,,,,,,,,,,,,,,,,,
3830403N18Rik,Smc3,,,,,,,,,,,,,,,,,,
Abraxas1,Lamb2,,,,,,,,,,,,,,,,,,
Abraxas1,Lamb2,,,,,,,,,,,,,,,,,,
Abraxas1,Lamb2,,,,,,,,,,,,,,,,,,
Slf1,Lamb2,,,,,,,,,,,,,,,,,,
Rnf4,Lamb2,,,,,,,,,,,,,,,,,,
Vcpip1,Lamb2,,,,,,,,,,,,,,,,,,
Mcm7,Lamb2,,,,,,,,,,,,,,,,,,
Mcm7,Lamb2,,,,,,,,,,,,,,,,,,
Fhl1,Lamb2,,,,,,,,,,,,,,,,,,
Fhl1,Lamb2,,,,,,,,,,,,,,,,,,
Kash5,Lamb2,,,,,,,,,,,,,,,,,,
Kash5,Lamb2,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Kash5,Lamb3,,,,,,,,,,,,,,,,,,
Zwint,Lamc1,,,,,,,,,,,,,,,,,,
Zwint,Lamc1,,,,,,,,,,,,,,,,,,
Zwint,Lamc1,,,,,,,,,,,,,,,,,,
Zwint,Lamc1,,,,,,,,,,,,,,,,,,
Zwint,Lamc1,,,,,,,,,,,,,,,,,,
Trim35,Lamc1,,,,,,,,,,,,,,,,,,
Syce2,Lamc1,,,,,,,,,,,,,,,,,,
Syce2,Lamc1,,,,,,,,,,,,,,,,,,
Syce2,Lamc1,,,,,,,,,,,,,,,,,,
Shcbp1l,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Kif11,Lamc1,,,,,,,,,,,,,,,,,,
Cenpe,Lamc1,,,,,,,,,,,,,,,,,,
Cenpe,Lamc1,,,,,,,,,,,,,,,,,,
Cenpe,Lamc1,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lamc2,,,,,,,,,,,,,,,,,,
Cenpe,Lama2,,,,,,,,,,,,,,,,,,
Cenpe,Lama2,,,,,,,,,,,,,,,,,,
Cenpe,Lama2,,,,,,,,,,,,,,,,,,
Cenpe,Lama2,,,,,,,,,,,,,,,,,,
Cenpe,Lama2,,,,,,,,,,,,,,,,,,
Alox8,Lama2,,,,,,,,,,,,,,,,,,
Kif14,Lama2,,,,,,,,,,,,,,,,,,
Kif14,Lama2,,,,,,,,,,,,,,,,,,
Kif14,Lama2,,,,,,,,,,,,,,,,,,
Kif14,Lama2,,,,,,,,,,,,,,,,,,
Rad51ap1,Lama2,,,,,,,,,,,,,,,,,,
Cxcr5,Lama2,,,,,,,,,,,,,,,,,,
Gm28576,Lama2,,,,,,,,,,,,,,,,,,
Cdc45,Lama2,,,,,,,,,,,,,,,,,,
Cdc45,Mmp13,,,,,,,,,,,,,,,,,,
Rtkn,Lama3,,,,,,,,,,,,,,,,,,
Rtkn,Lama3,,,,,,,,,,,,,,,,,,
Cenpt,Lama3,,,,,,,,,,,,,,,,,,
Cenpt,Lama3,,,,,,,,,,,,,,,,,,
Cenpt,Lama3,,,,,,,,,,,,,,,,,,
Ccnb1ip1,Lama3,,,,,,,,,,,,,,,,,,
Ccnb1ip1,Lama3,,,,,,,,,,,,,,,,,,
Ccnb1ip1,Lama3,,,,,,,,,,,,,,,,,,
Ccnb1ip1,Lama3,,,,,,,,,,,,,,,,,,
Ccnb1ip1,Lama3,,,,,,,,,,,,,,,,,,
Syce1l,Lama3,,,,,,,,,,,,,,,,,,
Syce1l,Lama3,,,,,,,,,,,,,,,,,,
Orc3,Lama3,,,,,,,,,,,,,,,,,,
Sycp2l,Sema3c,,,,,,,,,,,,,,,,,,
Ms4a3,Kng2,,,,,,,,,,,,,,,,,,
Ovol2,Lgals4,,,,,,,,,,,,,,,,,,
Kifc5b,Clec14a,,,,,,,,,,,,,,,,,,
Kntc1,Col27a1,,,,,,,,,,,,,,,,,,
Kntc1,Col27a1,,,,,,,,,,,,,,,,,,
Tcim,Col27a1,,,,,,,,,,,,,,,,,,
Bex2,Col27a1,,,,,,,,,,,,,,,,,,
Sgsm3,Col27a1,,,,,,,,,,,,,,,,,,
Sgsm3,Col27a1,,,,,,,,,,,,,,,,,,
Usp22,Col27a1,,,,,,,,,,,,,,,,,,
Usp22,Col27a1,,,,,,,,,,,,,,,,,,
Mos,Zan,,,,,,,,,,,,,,,,,,
Mos,Coch,,,,,,,,,,,,,,,,,,
Mos,Coch,,,,,,,,,,,,,,,,,,
Mos,Coch,,,,,,,,,,,,,,,,,,
Mos,Coch,,,,,,,,,,,,,,,,,,
Mos,Coch,,,,,,,,,,,,,,,,,,
Spast,Fras1,,,,,,,,,,,,,,,,,,
Spast,Fras1,,,,,,,,,,,,,,,,,,
Spast,Fras1,,,,,,,,,,,,,,,,,,
Spast,Fras1,,,,,,,,,,,,,,,,,,
Spast,Fras1,,,,,,,,,,,,,,,,,,
Spast,Fras1,,,,,,,,,,,,,,,,,,
Nr2f2,Fras1,,,,,,,,,,,,,,,,,,
Hepacam2,Fras1,,,,,,,,,,,,,,,,,,
Hepacam2,Umodl1,,,,,,,,,,,,,,,,,,
Hepacam2,9530053A07Rik,,,,,,,,,,,,,,,,,,
Cenpv,Col11a1,,,,,,,,,,,,,,,,,,
Cenpv,Col11a1,,,,,,,,,,,,,,,,,,
Cenpv,Col11a1,,,,,,,,,,,,,,,,,,
Cenpv,Col11a1,,,,,,,,,,,,,,,,,,
Gm21294,Col11a1,,,,,,,,,,,,,,,,,,
Pik3c3,Col11a1,,,,,,,,,,,,,,,,,,
Pik3c3,Col11a1,,,,,,,,,,,,,,,,,,
Iqgap3,Col11a1,,,,,,,,,,,,,,,,,,
Ccdc8,Col11a1,,,,,,,,,,,,,,,,,,
Ccdc8,Col12a1,,,,,,,,,,,,,,,,,,
BC004004,Col12a1,,,,,,,,,,,,,,,,,,
Cables1,Col12a1,,,,,,,,,,,,,,,,,,
Cables1,Col12a1,,,,,,,,,,,,,,,,,,
Cables1,Col12a1,,,,,,,,,,,,,,,,,,
Sirt1,Col12a1,,,,,,,,,,,,,,,,,,
Sirt1,Col12a1,,,,,,,,,,,,,,,,,,
Rassf2,Col12a1,,,,,,,,,,,,,,,,,,
Terf2,Col12a1,,,,,,,,,,,,,,,,,,
Pik3r4,Gp2,,,,,,,,,,,,,,,,,,
Gdpd5,Adamts3,,,,,,,,,,,,,,,,,,
Haus6,Anxa7,,,,,,,,,,,,,,,,,,
Haus6,Anxa7,,,,,,,,,,,,,,,,,,
Gpsm2,Ccn6,,,,,,,,,,,,,,,,,,
Gpsm2,Adamts13,,,,,,,,,,,,,,,,,,
Gpsm2,Otog,,,,,,,,,,,,,,,,,,
Gpsm2,Otog,,,,,,,,,,,,,,,,,,
Gpsm2,Hpse,,,,,,,,,,,,,,,,,,
Gpsm2,Hpse,,,,,,,,,,,,,,,,,,
Ubb,Tril,,,,,,,,,,,,,,,,,,
Ubb,Reg3b,,,,,,,,,,,,,,,,,,
Pnpt1,Ntn1,,,,,,,,,,,,,,,,,,
Tuba1a,Ntn1,,,,,,,,,,,,,,,,,,
Pou4f1,Ntn1,,,,,,,,,,,,,,,,,,
Pou4f1,Ntn1,,,,,,,,,,,,,,,,,,
Pou4f1,Ntn1,,,,,,,,,,,,,,,,,,
Pou4f1,Npnt,,,,,,,,,,,,,,,,,,
Pou4f1,Npnt,,,,,,,,,,,,,,,,,,
Sipa1,Npnt,,,,,,,,,,,,,,,,,,
Trp53,Npnt,,,,,,,,,,,,,,,,,,
Trp53,Npnt,,,,,,,,,,,,,,,,,,
Trp53,Npnt,,,,,,,,,,,,,,,,,,
Trp53,Npnt,,,,,,,,,,,,,,,,,,
Trp53,Npnt,,,,,,,,,,,,,,,,,,
Trp53,Col13a1,,,,,,,,,,,,,,,,,,
Trp53,Col13a1,,,,,,,,,,,,,,,,,,
Trp53,Col13a1,,,,,,,,,,,,,,,,,,
Trp53,Col13a1,,,,,,,,,,,,,,,,,,
Trp53,Pmp22,,,,,,,,,,,,,,,,,,
Trp53,Plg,,,,,,,,,,,,,,,,,,
Trp53,Plg,,,,,,,,,,,,,,,,,,
Foxn3,Lingo3,,,,,,,,,,,,,,,,,,
Fbxl12,Serpine1,,,,,,,,,,,,,,,,,,
Fbxl12,Ptn,,,,,,,,,,,,,,,,,,
Dmrt1,Ptn,,,,,,,,,,,,,,,,,,
Dmrt1,Tgm4,,,,,,,,,,,,,,,,,,
Dmrt1,Tgm4,,,,,,,,,,,,,,,,,,
Fbxw5,S100a3,,,,,,,,,,,,,,,,,,
Fbxw5,Reg2,,,,,,,,,,,,,,,,,,
Tsc2,Reg1,,,,,,,,,,,,,,,,,,
Mepce,Htra1,,,,,,,,,,,,,,,,,,
L3mbtl1,Htra1,,,,,,,,,,,,,,,,,,
Arpp19,Rbp3,,,,,,,,,,,,,,,,,,
Arpp19,Rbp3,,,,,,,,,,,,,,,,,,
Arpp19,Adamts4,,,,,,,,,,,,,,,,,,
Fbxo31,Adamts4,,,,,,,,,,,,,,,,,,
Fbxo31,Wnt7a,,,,,,,,,,,,,,,,,,
Fbxl6,Wnt6,,,,,,,,,,,,,,,,,,
Fbxl6,Wnt5b,,,,,,,,,,,,,,,,,,
Fbxl17,Wnt5a,,,,,,,,,,,,,,,,,,
Fbxl17,Wnt4,,,,,,,,,,,,,,,,,,
Fbxl3,Wnt3,,,,,,,,,,,,,,,,,,
Fbxl3,Wnt2,,,,,,,,,,,,,,,,,,
Ptpn11,Matn1,,,,,,,,,,,,,,,,,,
Ptpn11,Matn1,,,,,,,,,,,,,,,,,,
Ptpn11,Matn1,,,,,,,,,,,,,,,,,,
Psrc1,Prss34,,,,,,,,,,,,,,,,,,
Psrc1,Cask,,,,,,,,,,,,,,,,,,
Psrc1,Cask,,,,,,,,,,,,,,,,,,
Psrc1,Cask,,,,,,,,,,,,,,,,,,
Psrc1,Cask,,,,,,,,,,,,,,,,,,
Jmy,Svep1,,,,,,,,,,,,,,,,,,
Jmy,Dlg1,,,,,,,,,,,,,,,,,,
Nanos2,Mamdc2,,,,,,,,,,,,,,,,,,
Tacc2,Mamdc2,,,,,,,,,,,,,,,,,,
Tacc2,Lgr6,,,,,,,,,,,,,,,,,,
Piwil1,Cfdp1,,,,,,,,,,,,,,,,,,
Tas1r2,Timp3,,,,,,,,,,,,,,,,,,
Nek6,Timp3,,,,,,,,,,,,,,,,,,
Nek6,Timp2,,,,,,,,,,,,,,,,,,
Gm21996,Timp2,,,,,,,,,,,,,,,,,,
Cyp1a1,Timp1,,,,,,,,,,,,,,,,,,
Stox1,Timp1,,,,,,,,,,,,,,,,,,
Stox1,Timp1,,,,,,,,,,,,,,,,,,
Stox1,Timp1,,,,,,,,,,,,,,,,,,
Stox1,Pcolce2,,,,,,,,,,,,,,,,,,
Csnk2a2,Pcolce2,,,,,,,,,,,,,,,,,,
Csnk2a2,Sfrp1,,,,,,,,,,,,,,,,,,
Csnk2a2,Pf4,,,,,,,,,,,,,,,,,,
Csnk2a2,Tgm3,,,,,,,,,,,,,,,,,,
Csnk2a2,Tgm2,,,,,,,,,,,,,,,,,,
Csnk2a2,Tgm2,,,,,,,,,,,,,,,,,,
Csnk2a1,Tgm2,,,,,,,,,,,,,,,,,,
Csnk2a1,Tgm2,,,,,,,,,,,,,,,,,,
Csnk2a1,Tgfb3,,,,,,,,,,,,,,,,,,
Ccnk,Tgfb3,,,,,,,,,,,,,,,,,,
Birc6,Tgfb2,,,,,,,,,,,,,,,,,,
Birc6,Tgfb2,,,,,,,,,,,,,,,,,,
Xpo1,Tgfb1,,,,,,,,,,,,,,,,,,
Terb1,Tgfb1,,,,,,,,,,,,,,,,,,
Terb1,Tgfb1,,,,,,,,,,,,,,,,,,
Terb1,Tgfb1,,,,,,,,,,,,,,,,,,
Terb1,Tgfb1,,,,,,,,,,,,,,,,,,
Terb1,Ambn,,,,,,,,,,,,,,,,,,
Terb1,Ambn,,,,,,,,,,,,,,,,,,
Terb1,Ambn,,,,,,,,,,,,,,,,,,
Terb1,Ptx3,,,,,,,,,,,,,,,,,,
Terb1,Tgfbr3,,,,,,,,,,,,,,,,,,
Nup43,Papln,,,,,,,,,,,,,,,,,,
Ilk,Papln,,,,,,,,,,,,,,,,,,
Per2,Papln,,,,,,,,,,,,,,,,,,
Gbf1,Papln,,,,,,,,,,,,,,,,,,
Gen1,Mmrn1,,,,,,,,,,,,,,,,,,
Gen1,Mmrn1,,,,,,,,,,,,,,,,,,
Mapk7,Mmrn1,,,,,,,,,,,,,,,,,,
Gadd45g,Mmrn1,,,,,,,,,,,,,,,,,,
Gadd45g,Spn,,,,,,,,,,,,,,,,,,
Taf10,Serpina3k,,,,,,,,,,,,,,,,,,
Trp53bp1,Serpina3k,,,,,,,,,,,,,,,,,,
Gm28870,Sparc,,,,,,,,,,,,,,,,,,
Azi2,Sparc,,,,,,,,,,,,,,,,,,
Thoc5,Sparc,,,,,,,,,,,,,,,,,,
Cntln,Sparc,,,,,,,,,,,,,,,,,,
Cntln,Ctsz,,,,,,,,,,,,,,,,,,
Cul7,Dag1,,,,,,,,,,,,,,,,,,
Cul7,Dag1,,,,,,,,,,,,,,,,,,
Cul7,Dag1,,,,,,,,,,,,,,,,,,
Fbxo4,Dag1,,,,,,,,,,,,,,,,,,
Nle1,Dag1,,,,,,,,,,,,,,,,,,
Spin2c,Angptl7,,,,,,,,,,,,,,,,,,
Spin2c,Plod3,,,,,,,,,,,,,,,,,,
Ska1,Plod3,,,,,,,,,,,,,,,,,,
Ska1,Plod3,,,,,,,,,,,,,,,,,,
Ska1,Ihh,,,,,,,,,,,,,,,,,,
Tdrd1,Abi3bp,,,,,,,,,,,,,,,,,,
Usp26,Abi3bp,,,,,,,,,,,,,,,,,,
Nabp1,Abi3bp,,,,,,,,,,,,,,,,,,
Nabp1,Abi3bp,,,,,,,,,,,,,,,,,,
Paf1,Adamts9,,,,,,,,,,,,,,,,,,
Ccl12,Adamts9,,,,,,,,,,,,,,,,,,
Cntd1,Cilp,,,,,,,,,,,,,,,,,,
Cntd1,Sspo,,,,,,,,,,,,,,,,,,
Mylk2,Sspo,,,,,,,,,,,,,,,,,,
