cell_cycle_GO:0007049,extracellular_matrix_GO:0031012,epithelial_to_mesencyhmal_transition_GO:0001837,lipid_catabolic_process_GO:0016042,canonical_glycolysis_GO:0061621,glycolytic_process_GO:0006096,glucose_catabolic_process_GO:0006007,tricarboxylic_acid_cycle_GO:0006099,oxidative_phosphorylation_GO:0006119,fatty_acid_oxidation_GO:0019395,regulation_of_pyruvate_kinase_activity_GO.1903301,regulation_of_glucose_catabolic_process_to_lactate_via_pyruvate_GO.1904023,regulation_of_lipid_storage_GO.0010883,fatty_acid_homeostasis_GO.0055089,glucose_transmembrane_transport_GO.1904659,long-chain_fatty_acid_import_into_cell_GO.0044539,malonyl-CoA_metabolic_process_GO.2001293,response_to_unfolded_protein_GO.0006986,cellular_response_to_hypoxia_GO.0071456,response_to_type_I_interferon_GO.0034340
Arf1,Nid2,Bmp2,Acap1,,Pfkm,,,Ndufs3,Eci1,,,,,Rhoq,,,Herpud1,Rwdd3,Ube2k
Esco2,Nid2,Bmp2,Acat1,,Pfkm,,,Ndufs6,Eci1,,,,,Rhoq,,,Herpud1,Rwdd3,Usp27x
Esco2,Nid2,Bmp2,Acat2,,Pfkm,,,Ndufs7,Eci1,,,,,Rnasel,,,Herpud1,Scn2a,Usp29
Tdrd12,Nid2,Bmp2,Acat3,,Pfkm,,,Ndufs8,Eci2,,,,,Rps6kb1,,,Herpud1,Sdhd,Wnt5a
Tdrd12,Tnn,Pdcd4,Acer1,,Pfkm,,,Ndufs8,Eci3,,,,,Rsc1a1,,,Herpud2,Sirt1,Ythdf2
Nfe2l1,Tnn,Jag1,Acer1,,Pfkm,,,Ndufv1,Ehhadh,,,,,Rtn2,,,Herpud2,Sirt2,Ythdf3
Rhno1,Fbln7,Notch4,Acer1,,Pfkm,,,Ndufv1,Ehhadh,,,,,Sesn2,,,Hsf1,Sirt2,Zbp1
Rhno1,Lman1,Crb2,Acer2,,Pfkm,,,Ndufv2,Ehhadh,,,,,Sh2b2,,,Hsp90aa1,Sirt2,Zbp1
Cuzd1,Mmp19,Crb2,Acer3,,Pfkp,,,Ndufv2,Ehhadh,,,,,Sirt6,,,Hspa1a,Slc2a4,
Id4,Vasn,Wwtr1,Acer3,,Pfkp,,,Ndufv3,Ehhadh,,,,,Slc1a2,,,Hspa1b,Slc8a3,
Fbxl7,Mmp8,Adipor1,Acot2,,Pfkp,,,Ndufv3,Etfa,,,,,Slc2a1,,,Hspa1l,Slc9a1,
Fbxl7,S100a11,Ppp3r1,Acot7,,Pgam1,,,Nipsnap2,Etfa,,,,,Slc2a1,,,Hspa2,Stox1,
Fbxl7,S100a11,Smad2,Acot8,,Pgam1,,,Nupr1,Etfb,,,,,Slc2a1,,,Hspa4l,Stub1,
Meig1,S100a11,Sfrp2,Acox1,,Pgam2,,,Park7,Etfb,,,,,Slc2a1,,,Hspa5,Suv39h1,
Grb14,Colq,Dab2,Acox1,,Pgam2,,,Park7,Etfbkmt,,,,,Slc2a2,,,Hspa5,Suv39h2,
Chek2,Colq,Dab2,Acox1,,Pgk1,,,Pde2a,Etfbkmt,,,,,Slc2a2,,,Hspa5,Tbl2,
Chek2,Colq,Ezh2,Acox1,,Pgk1,,,Pde12,Etfdh,,,,,Slc2a2,,,Hspa5,Tert,
